塾名,形態,月謝小4,月謝小5,月謝小6,合格実績上位校,特徴,地域
育英ゼミナール,集団,15000,25000,35000,85,大手・カリキュラム充実,水戸・つくば・土浦
個別指導まなび舎,個別,20000,30000,40000,75,一人ひとりに合わせた指導,県内全域
中学受験専門TOPRUN,集団,18000,28000,38000,90,難関校対策に特化,水戸・つくば
スタディクラブ,個別,17000,27000,37000,70,ICT活用・自立学習,日立・ひたちなか
茨城進学会,集団,16000,26000,36000,80,地域密着・長い歴史,土浦・牛久
明光義塾,個別,19000,29000,39000,65,全国チェーン・安定感,県内全域
受験ラボ,集団,21000,31000,41000,85,少人数制・徹底指導,水戸・つくば
個別教室スタンダード,個別,18000,28000,38000,60,自分のペースで学習,県内全域
茨城育英館,集団,15000,25000,35000,75,地元密着・手厚い指導,水戸・日立
学習塾ウィングス,集団,17000,27000,37000,70,バランス重視の指導,つくば・土浦
